defined_class	defined_class_label	neuropil	neuropil_label
FBbt:00003666	adult intrinsic protocerebral bridge neuron	FBbt:00003668	protocerebral bridge
FBbt:00003882	lobula intrinsic neuron	FBbt:00003852	lobula
FBbt:00003910	lobula plate intrinsic neuron	FBbt:00003885	lobula plate
FBbt:00007484	mushroom body intrinsic neuron	FBbt:00005801	mushroom body
FBbt:00007577	adult optic lobe intrinsic neuron	FBbt:00003701	adult optic lobe
FBbt:00047733	larval visual local interneuron	FBbt:00048289	larval optic neuropil
FBbt:00049150	fan-shaped body intrinsic neuron	FBbt:00003679	fan-shaped body
FBbt:00049285	adult lateral horn local neuron	FBbt:00007053	adult lateral horn
FBbt:00049520	larval lateral horn local interneuron	FBbt:00111688	embryonic/larval lateral horn
FBbt:00052815	ocellar ganglion local neuron	FBbt:00049817	ocellar ganglion
FBbt:00052874	antennal lobe local neuron	FBbt:00003924	antennal lobe
FBbt:00053385	medulla intrinsic neuron	FBbt:00003748	medulla
FBbt:00053386	adult subesophageal zone intrinsic neuron	FBbt:00110639	adult subesophageal zone
FBbt:00053387	intrinsic neuron of the central complex	FBbt:00003632	adult central complex
FBbt:00059245	adult central brain intrinsic neuron	FBbt:00047887	adult central brain
FBbt:00059247	adult visual neuropil intrinsic neuron	FBbt:00053384	adult primary visual center
FBbt:00111352	intrinsic antennal mechanosensory and motor center neuron	FBbt:00003982	antennal mechanosensory and motor center
FBbt:00111353	intrinsic wedge neuron	FBbt:00045027	wedge
FBbt:00111360	intrinsic ventrolateral protocerebrum neuron	FBbt:00007058	ventrolateral protocerebrum
