#curie_map:
#  DoOR: http://neuro.uni-konstanz.de/DoOR/content/receptor.php?OR=
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  ORCID: https://orcid.org/
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbbt/mappings/door.sssom.tsv
#creator_id:
#  - ORCID:0000-0002-1373-1705
#license: https://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbbt.owl
#mapping_date: 2024-07-11
subject_id	subject_label	predicate_id	object_id	mapping_justification
FBbt:00007389	adult olfactory receptor neuron Or85b/98b	skos:exactMatch	DoOR:ab3B	semapv:ManualMappingCuration
FBbt:00051495	adult olfactory receptor neuron Ir75c	skos:exactMatch	DoOR:ac3A	semapv:ManualMappingCuration
FBbt:00067001	adult olfactory receptor neuron Or2a	skos:exactMatch	DoOR:Or2a	semapv:ManualMappingCuration
FBbt:00067003	adult olfactory receptor neuron Or59b	skos:exactMatch	DoOR:Or59b	semapv:ManualMappingCuration
FBbt:00067005	adult olfactory receptor neuron Or7a	skos:exactMatch	DoOR:Or7a	semapv:ManualMappingCuration
FBbt:00067007	adult olfactory receptor neuron Or59c	skos:exactMatch	DoOR:Or59c	semapv:ManualMappingCuration
FBbt:00067009	adult olfactory receptor neuron Or9a	skos:exactMatch	DoOR:Or9a	semapv:ManualMappingCuration
FBbt:00067011	adult olfactory receptor neuron Or65	skos:exactMatch	DoOR:Or65a	semapv:ManualMappingCuration
FBbt:00067013	adult olfactory receptor neuron Or10a	skos:exactMatch	DoOR:Or10a	semapv:ManualMappingCuration
FBbt:00067016	adult olfactory receptor neuron Or13a	skos:exactMatch	DoOR:Or13a	semapv:ManualMappingCuration
FBbt:00067020	adult olfactory receptor neuron Or67a	skos:exactMatch	DoOR:Or67a	semapv:ManualMappingCuration
FBbt:00067023	adult olfactory receptor neuron Or67b	skos:exactMatch	DoOR:Or67b	semapv:ManualMappingCuration
FBbt:00067027	adult olfactory receptor neuron Or67c	skos:exactMatch	DoOR:Or67c	semapv:ManualMappingCuration
FBbt:00067031	adult olfactory receptor neuron Or67d	skos:exactMatch	DoOR:Or67d	semapv:ManualMappingCuration
FBbt:00067033	adult olfactory receptor neuron Or23a	skos:exactMatch	DoOR:Or23a	semapv:ManualMappingCuration
FBbt:00067034	adult olfactory receptor neuron Or69a	skos:exactMatch	DoOR:Or69a	semapv:ManualMappingCuration
FBbt:00067036	adult olfactory receptor neuron Or33c/85e	skos:exactMatch	DoOR:pb2A	semapv:ManualMappingCuration
FBbt:00067039	adult olfactory receptor neuron Or35a	skos:exactMatch	DoOR:ac3B	semapv:ManualMappingCuration
FBbt:00067041	adult olfactory receptor neuron Or71a	skos:exactMatch	DoOR:Or71a	semapv:ManualMappingCuration
FBbt:00067042	adult olfactory receptor neuron Or42a	skos:exactMatch	DoOR:Or42a	semapv:ManualMappingCuration
FBbt:00067044	adult olfactory receptor neuron Or82a	skos:exactMatch	DoOR:Or82a	semapv:ManualMappingCuration
FBbt:00067046	adult olfactory receptor neuron Or42b	skos:exactMatch	DoOR:Or42b	semapv:ManualMappingCuration
FBbt:00067047	adult olfactory receptor neuron Or83c	skos:exactMatch	DoOR:Or83c	semapv:ManualMappingCuration
FBbt:00067048	adult olfactory receptor neuron Or43a	skos:exactMatch	DoOR:Or43a	semapv:ManualMappingCuration
FBbt:00067049	adult olfactory receptor neuron Or85a	skos:exactMatch	DoOR:ab2B	semapv:ManualMappingCuration
FBbt:00067050	adult olfactory receptor neuron Or43b	skos:exactMatch	DoOR:Or43b	semapv:ManualMappingCuration
FBbt:00067051	adult olfactory receptor neuron Or85d	skos:exactMatch	DoOR:Or85d	semapv:ManualMappingCuration
FBbt:00067052	adult olfactory receptor neuron Or46a	skos:exactMatch	DoOR:Or46a	semapv:ManualMappingCuration
FBbt:00067056	adult olfactory receptor neuron Or47b	skos:exactMatch	DoOR:Or47b	semapv:ManualMappingCuration
FBbt:00067057	adult olfactory receptor neuron Or88a	skos:exactMatch	DoOR:Or88a	semapv:ManualMappingCuration
FBbt:00067059	adult olfactory receptor neuron Or92a	skos:exactMatch	DoOR:Or92a	semapv:ManualMappingCuration
FBbt:00067061	adult olfactory receptor neuron Or49b	skos:exactMatch	DoOR:Or49b	semapv:ManualMappingCuration
FBbt:00067062	adult olfactory receptor neuron Or98a	skos:exactMatch	DoOR:Or98a	semapv:ManualMappingCuration
FBbt:00067063	adult olfactory receptor neuron Or56a	skos:exactMatch	DoOR:ab4B	semapv:ManualMappingCuration
FBbt:00067064	adult olfactory receptor neuron Gr21a/63a	skos:exactMatch	DoOR:Gr21a.Gr63a	semapv:ManualMappingCuration
FBbt:00100418	larval olfactory receptor neuron Or1a	skos:exactMatch	DoOR:Or1a	semapv:ManualMappingCuration
FBbt:00100419	larval olfactory receptor neuron Or13a	skos:exactMatch	DoOR:Or13a	semapv:ManualMappingCuration
FBbt:00100420	larval olfactory receptor neuron Or22c	skos:exactMatch	DoOR:Or22c	semapv:ManualMappingCuration
FBbt:00100421	larval olfactory receptor neuron Or24a	skos:exactMatch	DoOR:Or24a	semapv:ManualMappingCuration
FBbt:00100422	larval olfactory receptor neuron Or30a	skos:exactMatch	DoOR:Or30a	semapv:ManualMappingCuration
FBbt:00100423	larval olfactory receptor neuron Or33a	skos:exactMatch	DoOR:Or33a	semapv:ManualMappingCuration
FBbt:00100424	larval olfactory receptor neuron Or33b/Or47a	skos:exactMatch	DoOR:Or33b	semapv:ManualMappingCuration
FBbt:00100425	larval olfactory receptor neuron Or35a	skos:exactMatch	DoOR:Or35a	semapv:ManualMappingCuration
FBbt:00100426	larval olfactory receptor neuron Or42a	skos:exactMatch	DoOR:Or42a	semapv:ManualMappingCuration
FBbt:00100427	larval olfactory receptor neuron Or42b	skos:exactMatch	DoOR:Or42b	semapv:ManualMappingCuration
FBbt:00100428	larval olfactory receptor neuron Or45a	skos:exactMatch	DoOR:Or45a	semapv:ManualMappingCuration
FBbt:00100429	larval olfactory receptor neuron Or45b	skos:exactMatch	DoOR:Or45b	semapv:ManualMappingCuration
FBbt:00100431	larval olfactory receptor neuron Or49a	skos:exactMatch	DoOR:Or49a	semapv:ManualMappingCuration
FBbt:00100432	larval olfactory receptor neuron Or59a	skos:exactMatch	DoOR:Or59a	semapv:ManualMappingCuration
FBbt:00100433	larval olfactory receptor neuron Or63a	skos:exactMatch	DoOR:Or63a	semapv:ManualMappingCuration
FBbt:00100434	larval olfactory receptor neuron Or67b	skos:exactMatch	DoOR:Or67b	semapv:ManualMappingCuration
FBbt:00100435	larval olfactory receptor neuron Or74a	skos:exactMatch	DoOR:Or74a	semapv:ManualMappingCuration
FBbt:00100436	larval olfactory receptor neuron Or82a	skos:exactMatch	DoOR:Or82a	semapv:ManualMappingCuration
FBbt:00100437	larval olfactory receptor neuron Or83a	skos:exactMatch	DoOR:Or83a	semapv:ManualMappingCuration
FBbt:00100438	larval olfactory receptor neuron Or85c	skos:exactMatch	DoOR:Or85c	semapv:ManualMappingCuration
FBbt:00110007	adult olfactory receptor neuron Ir84a	skos:exactMatch	DoOR:Ir84a	semapv:ManualMappingCuration
FBbt:00110010	adult olfactory receptor neuron Ir31a	skos:exactMatch	DoOR:OrIr31a	semapv:ManualMappingCuration
FBbt:00110012	adult olfactory receptor neuron Ir92a	skos:exactMatch	DoOR:Ir92a	semapv:ManualMappingCuration
FBbt:00110013	adult olfactory receptor neuron Ir75a	skos:exactMatch	DoOR:Ir75a	semapv:ManualMappingCuration
FBbt:00110015	adult olfactory receptor neuron Ir41a	skos:exactMatch	DoOR:Ir41a	semapv:ManualMappingCuration
FBbt:00110016	adult olfactory receptor neuron Ir75b	skos:exactMatch	DoOR:ac3A	semapv:ManualMappingCuration
FBbt:00110018	adult olfactory receptor neuron Ir76a	skos:exactMatch	DoOR:Ir76a	semapv:ManualMappingCuration
