term	FBbt_id	FBbt_name
AN_specific_new_dorsal_medial_tract		
CVL		
DLT	FBbt:00047533	dorsal lateral tract of dorsal cervical fasciculus
DLV	FBbt:00047541	dorsal lateral tract of ventral cervical fasciculus
DMT	FBbt:00047535	dorsal median tract of dorsal cervical fasciculus
ITD	FBbt:00047839	intermediate tract of dorsal cervical fasciculus - commissure of fine fibers
MDA	FBbt:00047544	median dorsal abdominal tract
MTD-I	FBbt:00047535	dorsal median tract of dorsal cervical fasciculus
MTD-II	FBbt:00047535	dorsal median tract of dorsal cervical fasciculus
MTD-III	FBbt:00047535	dorsal median tract of dorsal cervical fasciculus
VLT	FBbt:00047543	ventral lateral tract of ventral cervical fasciculus
VTV	FBbt:00047542	ventral median tract of ventral cervical fasciculus
