symbol	FBbt_id	reference
5-HTPLP	FBbt:00110945	FlyBase:FBrf0246888
5-HTPMP	FBbt:00049528	FlyBase:FBrf0246888
5-HTPMPD	FBbt:00110955	FlyBase:FBrf0246888
5-HTPMPV	FBbt:00110937	FlyBase:FBrf0246888
A1VUM1	FBbt:00052756	doi:10.1101/2023.05.31.542897
adPN	FBbt:00007438	FlyBase:FBrf0246888
AHN	FBbt:00053082	FlyBase:FBrf0258993
AL-AST1	FBbt:00047928	FlyBase:FBrf0219809
AL-AST2	FBbt:00047929	FlyBase:FBrf0219809
AL-AST3	FBbt:00047930	FlyBase:FBrf0219809
AL-DN1	FBbt:00047932	FlyBase:FBrf0219809
AL-MBDL1	FBbt:00047933	FlyBase:FBrf0219809
ALLN	FBbt:00007390	FlyBase:FBrf0249560
aMe12	FBbt:00049823	FlyBase:FBrf0248215
aMe23	FBbt:00049789	FlyBase:FBrf0246456
AMMC-A	FBbt:00110119	
AMMC-A1	FBbt:00110183	
AMMC-A2	FBbt:00110124	
AMMC-AL1	FBbt:00111359	
AMMC-B	FBbt:00110113	
AMMC-B1	FBbt:00110120	
AMMC-B1a	FBbt:00110121	
AMMC-B1b	FBbt:00110122	
AMMC-B2	FBbt:00110665	
AMMC-Bb1	FBbt:00111481	FlyBase:FBrf0230862
AMMC-Bb2	FBbt:00111482	FlyBase:FBrf0230862
AMMC-Bb3	FBbt:00111483	FlyBase:FBrf0230862
AMMC-Bb4	FBbt:00111484	FlyBase:FBrf0230862
AMMC-Bi1	FBbt:00111465	FlyBase:FBrf0230862
AMMC-Bi10	FBbt:00111474	FlyBase:FBrf0230862
AMMC-Bi11	FBbt:00111475	FlyBase:FBrf0230862
AMMC-Bi12	FBbt:00111476	FlyBase:FBrf0230862
AMMC-Bi13	FBbt:00111477	FlyBase:FBrf0230862
AMMC-Bi14	FBbt:00111478	FlyBase:FBrf0230862
AMMC-Bi15	FBbt:00111479	FlyBase:FBrf0230862
AMMC-Bi16	FBbt:00111480	FlyBase:FBrf0230862
AMMC-Bi2	FBbt:00111466	FlyBase:FBrf0230862
AMMC-Bi3	FBbt:00111467	FlyBase:FBrf0230862
AMMC-Bi4	FBbt:00111468	FlyBase:FBrf0230862
AMMC-Bi5	FBbt:00111469	FlyBase:FBrf0230862
AMMC-Bi6	FBbt:00111470	FlyBase:FBrf0230862
AMMC-Bi7	FBbt:00111471	FlyBase:FBrf0230862
AMMC-Bi8	FBbt:00111472	FlyBase:FBrf0230862
AMMC-Bi9	FBbt:00111473	FlyBase:FBrf0230862
AMMC-D1	FBbt:00110978	
AMMC-Db1	FBbt:00111493	FlyBase:FBrf0230862
AMMC-Db2	FBbt:00111494	FlyBase:FBrf0230862
AMMC-Db3	FBbt:00111495	FlyBase:FBrf0230862
AMMC-Db3a	FBbt:00111496	FlyBase:FBrf0230862
AMMC-Db3b	FBbt:00111497	FlyBase:FBrf0230862
AMMC-Db3c	FBbt:00111498	FlyBase:FBrf0230862
AMMC-Db4	FBbt:00111499	FlyBase:FBrf0230862
AMMC-Db5	FBbt:00111500	FlyBase:FBrf0230862
AMMC-Db6	FBbt:00111501	FlyBase:FBrf0230862
AMMC-Db7	FBbt:00111502	FlyBase:FBrf0230862
AMMC-Di1	FBbt:00111486	FlyBase:FBrf0230862
AMMC-Di2	FBbt:00111487	FlyBase:FBrf0230862
AMMC-Di3	FBbt:00111488	FlyBase:FBrf0230862
AMMC-Di4	FBbt:00111489	FlyBase:FBrf0230862
AMMC-Di5	FBbt:00111490	FlyBase:FBrf0230862
AMMC-Di6	FBbt:00111491	FlyBase:FBrf0230862
AMMC-Di7	FBbt:00111492	FlyBase:FBrf0230862
AMMC-P3b	FBbt:00111485	FlyBase:FBrf0230862|FlyBase:FBrf0205974
AMMC-PN1	FBbt:00049442	FlyBase:FBrf0242628
AMMC-VLP	FBbt:00111354	
AMMC-VLP1	FBbt:00111355	
AMMC-VLP2	FBbt:00111356	
AMMC-VLP3	FBbt:00111357	
AMMC-VLP5	FBbt:00111358	
AMMC-VLP7	FBbt:00110634	
AN_AVLP_PVLP_5	FBbt:20004423	doi:10.1101/2023.06.27.546055
AN_GNG_68	FBbt:20007225	doi:10.1101/2023.06.27.546055
AN_multi_105	FBbt:20004421	doi:10.1101/2023.06.27.546055
AN_multi_3	FBbt:20004336	doi:10.1101/2023.06.27.546055
AN_multi_82	FBbt:20004424	doi:10.1101/2023.06.27.546055
AN_SLP_LH_1	FBbt:20004422	doi:10.1101/2023.06.27.546055
AN00A002	FBbt:20007683	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN00A006	FBbt:20007684	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN00A009	FBbt:20007685	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A001	FBbt:20007686	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A006	FBbt:20007687	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A014	FBbt:20007688	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A021	FBbt:20007689	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A033	FBbt:20007690	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A049	FBbt:20007691	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A055	FBbt:20007692	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01A086	FBbt:20007693	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01B002	FBbt:20007694	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01B004	FBbt:20007695	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01B005	FBbt:20007696	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01B011	FBbt:20007697	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01B014	FBbt:20007698	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN01B018	FBbt:20007699	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A001	FBbt:20007700	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A002	FBbt:20007701	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A005	FBbt:20007702	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A009	FBbt:20007703	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A016	FBbt:20007704	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A017	FBbt:20007705	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A022	FBbt:20007706	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A025	FBbt:20007707	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN02A046	FBbt:20007708	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03A002	FBbt:20007709	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03A008	FBbt:20007710	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03B009	FBbt:20007711	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03B011	FBbt:20007712	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03B039	FBbt:20007713	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03B050	FBbt:20007714	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03B094	FBbt:20007715	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN03B095	FBbt:20007716	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN04A001	FBbt:20007717	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN04B001	FBbt:20007718	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN04B003	FBbt:20007719	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN04B004	FBbt:20007720	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN04B023	FBbt:20007721	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN04B051	FBbt:20007722	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B004	FBbt:20007723	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B005	FBbt:20007724	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B006	FBbt:20007725	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B007	FBbt:20007726	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B009	FBbt:20007727	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B010	FBbt:20007728	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B015	FBbt:20007729	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B017	FBbt:20007730	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B021	FBbt:20007731	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B024	FBbt:20007732	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B025	FBbt:20007733	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B026	FBbt:20007734	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B027	FBbt:20007735	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B029	FBbt:20007736	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B035	FBbt:20007737	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B036	FBbt:20007738	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B040	FBbt:20007739	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B044	FBbt:20007740	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B045	FBbt:20007741	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B046	FBbt:20007742	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B047	FBbt:20007743	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B048	FBbt:20007744	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B049	FBbt:20007745	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B050	FBbt:20007746	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B052	FBbt:20007747	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B053	FBbt:20007748	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B054	FBbt:20007749	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B056	FBbt:20007750	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B058	FBbt:20007751	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B059	FBbt:20007752	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B060	FBbt:20007753	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B062	FBbt:20007754	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B063	FBbt:20007755	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B067	FBbt:20007756	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B068	FBbt:20007757	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B069	FBbt:20007758	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
AN05B071	FBbt:20007759	doi:10.1101/2023.06.05.543407|doi:10.1101/2023.06.05.543757
